,area,eccentricity,perimeter,euler_number,orientation,solidity,area_bbox,area_convex,axis_major_length,axis_minor_length,firs_hu_moment,second_hu_moment,discrete_compactness,discrete_tortuosity,label
73,1679598.0,0.832696741809427321,7513.5137033972041536,-3.0,1.5063887684935448608,0.9412602680768028529,2418251.0,1784414.0,1992.8394494219817261,1103.4935906442656233,0.0008288594911945964313,6.8259897444836373015e-08,0.9996529913162811587,0.51875498241500594965,1.0
74,2328059.0,0.86695889692964023254,13152.262545869092719,-3.0,1.4215439033025982773,0.86484854946507427886,3697742.0,2691869.0,2535.626285602970711,1263.7045293032581412,0.000986986448351057262,9.839902009594737879e-08,0.99924253485369207706,0.536215549156725535,1.0
75,2527218.0,0.86495632108247988423,11299.5405409933955525,-19.0,1.5429672792887365596,0.9252582499958811324,3699128.0,2731365.0,2585.6960724230743836,1297.6242064025614127,0.00093983092705235025607,8.3084926064394901026e-08,0.99951094841271970193,0.52647901916767403385,1.0
76,1643314.0,0.87324813691686897776,8092.0650019494250955,-16.0,-1.5631341801170390848,0.94804352667110503017,2388100.0,1733374.0,2113.5048298297319889,1029.8597266263857364,0.00083081290538963403335,6.5453176618884967393e-08,0.99954867011153658574,0.5229824999999999058,1.0
77,2431099.0,0.8807829387986751968,11578.685814678705356,-21.0,1.5302248237091198302,0.9149610169466009246,3653044.0,2657052.0,2612.170868891965256,1236.9157685709099042,0.00096667803818805601943,8.087761455742423722e-08,0.999450318426026052,0.5216651401355560935,1.0
78,1797940.0,0.87201622507963938435,9610.973731602025509,-26.0,1.5266192928331878687,0.9172363023430099016,2721224.0,1960171.0,2221.2583261263171153,1087.2547928756002875,0.0008267835428947514949,6.454797942170892512e-08,0.99940895519384154166,0.5203487576931844494,1.0
79,1910858.0,0.81395711526529634927,8992.706704297266697,-15.0,1.4059867725929404703,0.9208625812862577531,2827460.0,2075074.0,2073.7043513520025044,1204.6666269240981819,0.0008758530031978507347,7.2560176040463001216e-08,0.9995465567755134062,0.52855805243445697084,1.0
80,2161662.0,0.8855519408522640745,12531.600640985716382,-38.0,1.5701494948881409286,0.91583002553455428174,3435164.0,2360331.0,2474.545155990870171,1149.5261348453386745,0.0008610493123384136121,6.959251734664963798e-08,0.999230327119586037,0.5268564176939811716,1.0
81,1732445.0,0.89368230314405683323,7939.780730701962966,-9.0,1.5648279381232454988,0.9409882509881368762,2579304.0,1841091.0,2250.5678585243827001,1009.83042771475902555,0.0008257112346884015481,6.924914098071162597e-08,0.9996137078727561631,0.5209622947027526818,1.0
82,2032895.0,0.80094952298346233643,11792.709155275819285,-26.0,1.5219053929676620296,0.9194076953830957466,3083616.0,2211092.0,2112.9214125912981217,1265.0734052492639421,0.00086037939595667162207,7.497842504112939662e-08,0.99925060098510665174,0.5290295997309114595,1.0
